quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2025Q4,31-DEC-2025,MARUTI,Maruti Suzuki India Limited,Auto,Nifty 50,15.76,22.91,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606718_21012026125734_WEB.xml,2026-05-22T17:00:54+00:00
2025Q4,31-DEC-2025,MFSL,Max Financial Services Limited,Insurance,Midcap,45.14,47.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1601478_15012026030255_WEB.xml,2026-06-04T17:26:13+00:00
2025Q4,31-DEC-2025,MGL,Mahanagar Gas Limited,Oil & Gas,Midcap,24.89,20.83,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1604829_19012026072601_WEB.xml,2026-06-04T17:26:19+00:00
2025Q4,31-DEC-2025,MOTHERSON,Samvardhana Motherson International Limited,Auto,Nifty Next 50,11.75,21.61,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606143_20012026064430_WEB.xml,2026-05-22T16:54:04+00:00
2025Q4,31-DEC-2025,MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Midcap,6.93,6.42,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1607622_21012026071029_WEB.xml,2026-06-04T17:26:25+00:00
2025Q4,31-DEC-2025,MPHASIS,MphasiS Limited,IT,Midcap,19.79,45.25,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1602802_16012026065833_WEB.xml,2026-06-04T17:26:30+00:00
2025Q4,31-DEC-2025,MRF,MRF Limited,Auto,Midcap,18.17,12.51,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1603652_19012026102803_WEB.xml,2026-06-04T17:26:36+00:00
2025Q4,31-DEC-2025,MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Midcap,11.75,11.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1605617_20012026041748_WEB.xml,2026-06-04T17:26:41+00:00
2025Q4,31-DEC-2025,NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Midcap,7.9,13.84,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1627267_18022026112140_WEB.xml,2026-06-04T17:26:47+00:00
2025Q4,31-DEC-2025,NAUKRI,Info Edge (India) Limited,Consumer Services,Nifty Next 50,29.66,22.49,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1603728_19012026112714_WEB.xml,2026-05-22T16:54:12+00:00
2025Q4,31-DEC-2025,NESTLEIND,Nestle India Limited,FMCG,Nifty 50,9.81,12.09,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1607636_21012026071752_WEB.xml,2026-05-22T17:01:02+00:00
2025Q4,31-DEC-2025,NHPC,NHPC Limited,Power,Nifty Next 50,10.39,10.32,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1597672_09012026052446_WEB.xml,2026-05-22T16:54:20+00:00
2025Q4,31-DEC-2025,NMDC,NMDC Limited,Mining,Nifty Next 50,13.47,14.07,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1605024_20012026111408_WEB.xml,2026-05-22T16:54:28+00:00
